Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.152.0,1475,0,0,3,1475,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.149.0,3236,0,0,3,3236,100.0%
Dell Wireless 1550 802.11ac - 6.30.223.259,926,0,0,1,926,100.0%
"Wi-Fi  (0x14E4, 0x4378) - 16.0 (1657)",86,0,0,1,86,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.145.600,91,0,0,1,91,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1016,1304,0,0,3,1304,100.0%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1694,770,0,0,3,770,100.0%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1633,496,0,0,1,496,100.0%
Killer Wireless-n/a/ac 1535 Wireless Network Adapter - 12.0.0.1118,13,0,0,1,13,100.0%
Killer Wireless-n/a/ac 1435 Wireless Network Adapter - 12.0.0.1118,215,0,0,1,215,100.0%
Realtek RTL8188EU Wireless LAN 802.11n USB 2.0 Network Adapter - 1030.38.712.2019,50,0,0,1,50,100.0%
Realtek 8812BU Wireless LAN 802.11ac USB NIC - 1030.38.712.2019,764,0,0,1,764,100.0%
Qualcomm QCA9377 802.11ac Wireless Adapter - 12.0.0.697,719,0,0,1,719,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,332,0,0,2,332,100.0%
Qualcomm Atheros AR946x Wireless Network Adapter - 3.0.2.201,720,0,0,1,720,100.0%
Microsoft Wi-Fi Direct Virtual Adapter - 10.0.26100.2454,0,0,0,1,0,100.0%
Microsoft Wi-Fi Direct Virtual Adapter - 10.0.22621.1,0,0,0,2,0,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.10.0.6,720,0,0,1,720,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,718,0,0,1,718,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.30.1,1458,0,0,3,1458,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.18.1,408,0,0,1,408,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.14.1,1282,0,0,2,1282,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.10.0.9,525,0,0,1,525,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.16.2,1299,0,0,3,1299,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.15.1,1510,0,0,2,1510,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.14.3,1229,0,0,2,1229,100.0%
