Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
Costco,intel(r) wi-fi 6 ax201 160mhz,22.120.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.120.0.3,20576,7,90326,77.2
Costco,intel(r) wi-fi 6 ax201 160mhz,22.220.1.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.1.1,364,1,4378,91.7
Costco,intel(r) wi-fi 6 ax201 160mhz,23.20.1.1,Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.1.1,7877,10,117172,93.3
Costco,intel(r) wi-fi 6 ax201 160mhz,22.250.1.2,Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.1.2,2839,6,46804,93.9
Costco,intel(r) wi-fi 6 ax201 160mhz,22.40.0.7,Intel(R) Wi-Fi 6 AX201 160MHz - 22.40.0.7,3448,6,61849,94.4
Costco,intel(r) dual band wireless-ac 8265,20.70.24.1,Intel(R) Dual Band Wireless-AC 8265 - 20.70.24.1,2274,2,40280,94.4
Costco,intel(r) wi-fi 6 ax201 160mhz,22.100.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.0.3,1321,2,26832,95.1
Costco,intel(r) dual band wireless-ac 7265,19.51.12.3,Intel(R) Dual Band Wireless-AC 7265 - 19.51.12.3,1719,3,60850,97.2
Costco,intel(r) dual band wireless-ac 8265,20.70.17.1,Intel(R) Dual Band Wireless-AC 8265 - 20.70.17.1,520,1,19053,97.3
Costco,intel(r) dual band wireless-ac 7260,17.15.0.5,Intel(R) Dual Band Wireless-AC 7260 - 17.15.0.5,71,1,2798,97.5
Costco,intel(r) dual band wireless-ac 8265,20.70.3.3,Intel(R) Dual Band Wireless-AC 8265 - 20.70.3.3,312,1,13786,97.7
Costco,intel(r) dual band wireless-ac 8265,20.50.3.3,Intel(R) Dual Band Wireless-AC 8265 - 20.50.3.3,3749,10,206595,98.2
Costco,intel(r) dual band wireless-ac 8265,20.70.32.1,Intel(R) Dual Band Wireless-AC 8265 - 20.70.32.1,2828,17,200150,98.6
