Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
Sky,intel(r) wi-fi 6 ax201 160mhz,22.230.0.8,Intel(R) Wi-Fi 6 AX201 160MHz - 22.230.0.8,27,1,100,73.0
Sky,intel(r) wi-fi 6 ax201 160mhz,22.200.2.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.2.1,2694,7,27201,90.1
Sky,intel(r) wi-fi 6 ax201 160mhz,22.0.1.5,Intel(R) Wi-Fi 6 AX201 160MHz - 22.0.1.5,349,2,9642,96.4
Sky,intel(r) wi-fi 6 ax201 160mhz,23.90.0.2,Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.0.2,873,9,29397,97.0
Sky,intel(r) wi-fi 6e ax211 160mhz,22.200.2.1,Intel(R) Wi-Fi 6E AX211 160MHz - 22.200.2.1,2523,45,121202,97.9
Sky,intel(r) wi-fi 6 ax201 160mhz,22.170.2.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.170.2.1,27304,516,1459375,98.1
Sky,intel(r) wi-fi 6 ax201 160mhz,22.160.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.3,10744,254,581282,98.2
Sky,intel(r) wi-fi 6 ax201 160mhz,23.60.1.2,Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.1.2,495,12,27378,98.2
Sky,intel(r) wi-fi 6e ax211 160mhz,22.170.2.1,Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.2.1,8960,309,636806,98.6
Sky,intel(r) wi-fi 6 ax201 160mhz,22.250.10.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.10.1,502,16,44579,98.9
