Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%),Driver Vintage
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.34.2.571,7846,6153,3823,59,17822,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,24.34.2.571,44.0,2024-05-16
Intel(R) Dual Band Wireless-AC 7265 - 22.110.0.2,38279,16041,7205,78,61525,Intel(R) Dual Band Wireless-AC 7265,22.110.0.2,62.2,2021-11-27
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.155.1,142698,25400,3364,261,171462,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.155.1,83.2,2024-10-24
Intel(R) Wi-Fi 6 AX201 160MHz - 22.120.0.3,428753,42199,18728,925,489680,Intel(R) Wi-Fi 6 AX201 160MHz,22.120.0.3,87.6,2022-01-30
Intel(R) Wi-Fi 6E AX210 160MHz - 23.70.4.1,23004,561,2166,33,25731,Intel(R) Wi-Fi 6E AX210 160MHz,23.70.4.1,89.4,2024-08-13
Intel(R) Dual Band Wireless-AC 8265 - 20.70.17.1,15450,820,640,49,16910,Intel(R) Dual Band Wireless-AC 8265,20.70.17.1,91.4,2020-04-15
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.32.2.560,27384,2009,78,57,29471,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,23.32.2.560,92.9,2023-07-16
Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.44.822.2023,1100451,59785,11560,1246,1171796,Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter,1030.44.822.2023,93.9,
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.3.3.854,32568,1999,64,64,34631,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,3.3.3.854,94.0,2023-08-22
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.908,128505,7516,40,183,136061,MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter,3.3.0.908,94.4,2023-11-26
Qualcomm Atheros AR9580 Wireless Network Adapter - 3.0.2.201,86393,4103,832,147,91328,Qualcomm Atheros AR9580 Wireless Network Adapter,3.0.2.201,94.6,
Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.1.1,36814,1359,755,56,38928,Intel(R) Wi-Fi 6 AX201 160MHz,22.220.1.1,94.6,2023-04-02
Intel(R) Wireless-AC 9560 160MHz - 22.230.0.8,130657,6036,318,170,137011,Intel(R) Wireless-AC 9560 160MHz,22.230.0.8,95.4,2023-05-08
Qualcomm Atheros AR9580 Wireless Network Adapter - 10.1.10.5,48338,1813,439,108,50590,Qualcomm Atheros AR9580 Wireless Network Adapter,10.1.10.5,95.5,
Intel(R) Dual Band Wireless-AC 8265 - 20.50.3.3,304254,7320,5840,533,317414,Intel(R) Dual Band Wireless-AC 8265,20.50.3.3,95.9,2018-04-24
Intel(R) Wi-Fi 6 AX200 160MHz - 22.130.0.5,45027,884,836,51,46747,Intel(R) Wi-Fi 6 AX200 160MHz,22.130.0.5,96.3,2022-03-14
Intel(R) Wi-Fi 6E AX211 160MHz - 22.150.1.1,46503,162,1613,60,48278,Intel(R) Wi-Fi 6E AX211 160MHz,22.150.1.1,96.3,2022-06-20
Intel(R) Wireless-AC 9260 160MHz - 23.40.0.4,77295,2637,354,84,80286,Intel(R) Wireless-AC 9260 160MHz,23.40.0.4,96.3,2024-03-09
Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.1.1,1851548,48055,19627,1652,1919230,Intel(R) Wi-Fi 6E AX211 160MHz,22.220.1.1,96.5,2023-04-02
Intel(R) Dual Band Wireless-AC 7265 - 19.51.12.3,121785,3936,206,140,125927,Intel(R) Dual Band Wireless-AC 7265,19.51.12.3,96.7,2018-04-24
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.0.3,799933,23306,3394,1333,826633,Intel(R) Wi-Fi 6 AX201 160MHz,22.150.0.3,96.8,2022-05-23
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.2.3,125948,1545,2613,309,130106,Intel(R) Wi-Fi 6 AX201 160MHz,23.70.2.3,96.8,2024-07-23
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,57896,1187,687,146,59770,Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.3,96.9,2024-01-14
Intel(R) Dual Band Wireless-AC 7265 - 19.51.27.1,125556,1335,2733,141,129624,Intel(R) Dual Band Wireless-AC 7265,19.51.27.1,96.9,2019-12-02
Intel(R) Dual Band Wireless-AC 8260 - 20.50.0.4,97223,1406,1317,133,99946,Intel(R) Dual Band Wireless-AC 8260,20.50.0.4,97.3,2018-03-18
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.824,51815,1428,31,109,53274,MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter,3.3.0.824,97.3,2023-06-25
Intel(R) Dual Band Wireless-AC 7265 - 19.51.18.1,27236,692,68,32,27996,Intel(R) Dual Band Wireless-AC 7265,19.51.18.1,97.3,2019-05-10
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.356.0,160061,1471,2847,214,164379,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,6001.10.356.0,97.4,2023-12-21
