Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%),Driver Vintage
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.34.2.571,4983,4135,2611,37,11729,42.5,5/16/2024
Intel(R) Dual Band Wireless-AC 7265 - 22.110.0.2,23954,8097,4804,41,36855,65,11/27/2021
Intel(R) Wi-Fi 6 AX201 160MHz - 22.120.0.3,229390,21537,10478,460,261405,87.8,1/30/2022
Intel(R) Wi-Fi 6E AX210 160MHz - 23.70.4.1,23004,561,2166,33,25731,89.4,8/13/2024
Intel(R) Dual Band Wireless-AC 8265 - 20.70.17.1,10954,735,546,33,12235,89.5,4/15/2020
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.908,53284,5447,18,79,58749,90.7,11/26/2023
Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.44.822.2023,634488,36253,8270,683,679011,93.4,Not Found
Intel(R) Wi-Fi 6E AX211 160MHz - 22.150.1.1,26945,49,1613,33,28607,94.2,6/20/2022
Qualcomm Atheros AR9580 Wireless Network Adapter - 3.0.2.201,50100,2205,533,74,52838,94.8,Not Found
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.32.2.560,15687,811,30,30,16528,94.9,7/16/2023
Qualcomm Atheros AR9580 Wireless Network Adapter - 10.1.10.5,38422,1506,354,84,40282,95.4,Not Found
Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.1.1,917435,26818,15285,882,959538,95.6,4/2/2023
Intel(R) Dual Band Wireless-AC 8265 - 20.50.3.3,182544,4732,3471,284,190747,95.7,4/24/2018
Intel(R) Wireless-AC 9260 160MHz - 23.40.0.4,33280,1264,201,35,34745,95.8,3/9/2024
Intel(R) Dual Band Wireless-AC 7265 - 19.51.12.3,83443,3193,170,91,86806,96.1,4/15/2018
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.2.3,82257,1055,2181,186,85493,96.2,7/23/2024
Intel(R) Wi-Fi 6 AX200 160MHz - 22.130.0.5,45027,884,836,51,46747,96.3,3/14/2022
Intel(R) Wireless-AC 9560 160MHz - 22.230.0.8,60910,2234,4,75,63148,96.5,5/8/2023
Intel(R) Dual Band Wireless-AC 7265 - 19.51.18.1,13512,416,51,15,13979,96.7,12/30/2018
Intel(R) Dual Band Wireless-AC 7265 - 19.51.27.1,65754,566,1594,65,67914,96.8,12/2/2019
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.356.0,109336,1321,2305,134,112962,96.8,12/21/2023
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.0.3,408613,9325,2730,596,420668,97.1,5/23/2022
Intel(R) Dual Band Wireless-AC 8260 - 20.70.18.2,134234,669,3403,150,138306,97.1,6/23/2020
Intel(R) Dual Band Wireless-AC 8260 - 20.50.0.4,83679,1327,1157,108,86163,97.1,3/18/2018
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.4,400983,11125,247,438,412355,97.2,8/13/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 22.140.0.3,81624,1817,434,138,83875,97.3,4/25/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 23.30.0.6,1290020,18602,17824,2933,1326446,97.3,1/20/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.0.6,18746,222,269,36,19237,97.4,7/16/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.170.2.1,5805079,79102,62081,13140,5946262,97.6,8/30/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.3,2480602,35231,25814,6502,2541647,97.6,7/18/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.1.1,3344441,42422,39914,5745,3426777,97.6,12/19/2023
Intel(R) Wi-Fi 6 AX201 160MHz - 23.40.1.1,420162,7925,2414,803,430501,97.6,3/19/2024
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,39095,897,3,44,39995,97.7,9/14/2020
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.40.2.575,244136,3314,2430,425,249880,97.7,10/25/2024
Intel(R) Wi-Fi 6 AX200 160MHz - 22.100.0.3,112752,1517,871,132,115140,97.9,5/1/2022
Intel(R) Dual Band Wireless-AC 3165 - 19.51.40.1,166109,902,2652,164,169663,97.9,2/19/2022
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 23.20.1.1,17703,147,206,44,18056,98,12/19/2023
Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.1.1,35934,716,7,99,36657,98,3/19/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.3.2,92364,1561,308,98,94233,98,8/1/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 23.80.0.7,4100907,54546,28248,7595,4183701,98,9/1/2024
Intel(R) Dual Band Wireless-AC 8265 - 20.90.0.100,37118,207,545,35,37870,98,10/3/2018
Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.2.1,4071796,46357,31033,8843,4149186,98.1,8/30/2022
Intel(R) Dual Band Wireless-AC 7265 - 19.51.37.2,95432,1388,375,101,97195,98.2,6/21/2021
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.1.2,7269599,74827,56868,10788,7401294,98.2,8/6/2023
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.800,15491,245,45,53,15781,98.2,4/18/2023
Intel(R) Wi-Fi 6 AX200 160MHz - 21.110.1.1,84151,1052,427,134,85630,98.3,6/30/2020
Intel(R) Dual Band Wireless-AC 8265 - 20.70.18.2,333878,2960,2856,503,339694,98.3,6/23/2020
TP-Link Wireless USB Adapter - 1030.38.712.2019,39081,157,508,57,39746,98.3,7/17/2019
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.0.4,122794,540,1547,210,124881,98.3,11/28/2023
Intel(R) Wi-Fi 6 AX201 160MHz - 22.110.1.1,1690243,15963,10947,2605,1717153,98.4,1/1/2022
Wi-Fi - 16.0 (1657),38696,167,446,222,39309,98.4,Not Found
Intel(R) Wi-Fi 6 AX200 160MHz - 22.120.1.9,972667,11530,3997,1017,988194,98.4,3/9/2022
NETGEAR A8000 WiFi 6 & 6E Adapter - 1.0.0.108,11803,99,96,24,11998,98.4,Not Found
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.824,32344,479,19,61,32842,98.5,6/25/2023
Intel(R) Wi-Fi 6E AX211 160MHz - 22.190.0.4,268923,2668,1427,516,273018,98.5,11/22/2022
Intel(R) Wi-Fi 6E AX211 160MHz - 22.160.0.3,736206,4957,6299,1008,747462,98.5,7/18/2022
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 23.60.1.2,337140,2735,2357,492,342232,98.5,6/2/2024
Intel(R) Wi-Fi 6E AX211 160MHz - 23.20.0.4,143100,1630,620,245,145350,98.5,11/28/2023
Intel(R) Wi-Fi 6 AX201 160MHz - 22.130.0.5,1184956,8497,9117,1652,1202570,98.5,3/14/2022
Intel Corporation Wireless-AC 9260 [8086:2526] (rev 29) - iwlwifi,866823,5209,6815,1066,878847,98.6,Not Found
Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.1.3,84347,523,680,110,85550,98.6,10/12/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.10.1,2302095,16952,15038,5229,2334085,98.6,8/14/2023
Intel(R) Dual Band Wireless-AC 8260 - 20.70.11.3,70159,271,720,69,71150,98.6,6/28/2019
